SIDO_NM,CCG_NM,STRD_YYMM,amt,cnt,population_total,amt_per_registered_resident,cnt_per_registered_resident
경기도,안산시 단원구,202602,25878330000,1295559,289296.0,89452.775012444,4.478316326530612
경기도,안산시 단원구,202603,26816650000,1466870,289167.0,92737.58762237738,5.072743431996043
경기도,안산시 단원구,202604,26716070000,1501041,288914.0,92470.66601133901,5.195459548516167
경기도,안산시 단원구,202605,29790390000,1603932,288673.0,103197.70120516987,5.556224517014061
경기도,안산시 단원구,202606,26487320000,1527892,288467.0,91820.97085628512,5.296591984525093
경기도,안산시 상록구,202601,15983060000,921724,322329.0,49586.16816978925,2.8595751545780863
경기도,안산시 상록구,202602,15168060000,853948,322171.0,47080.773874743536,2.65060480303938
경기도,안산시 상록구,202603,16300280000,999890,321616.0,50682.42873488881,3.1089560220884533
경기도,안산시 상록구,202604,16137070000,1022799,321167.0,50245.10612858731,3.1846329168314305
경기도,안산시 상록구,202605,17653010000,1067958,321039.0,54987.11994492881,3.3265678001738106
경기도,안산시 상록구,202606,16121570000,1026890,320773.0,50258.50055958575,3.2012981142427823
경기도,안성시,202601,14038170000,666177,196679.0,71376.0492986033,3.387128264837629
경기도,안성시,202602,13517380000,638536,196871.0,68661.1029557426,3.243423358442838
경기도,안성시,202603,14553130000,736313,197266.0,73774.14252836272,3.732589498443726
경기도,안성시,202604,14401780000,759424,198089.0,72703.58273301394,3.8337514955398837
경기도,안성시,202605,16273120000,822402,198631.0,81926.3861129431,4.140350700545232
경기도,안성시,202606,14319070000,767156,198785.0,72032.9501722967,3.8592247906029127
경기도,안양시 동안구,202601,15678870000,854023,329715.0,47552.795596196716,2.590185463203069
경기도,안양시 동안구,202602,14371630000,774551,329815.0,43574.82224883647,2.3484407925655293
경기도,안양시 동안구,202603,15732970000,909601,329302.0,47776.721671899955,2.762209157551427
경기도,안양시 동안구,202604,15461950000,919638,329110.0,46981.1005438911,2.7943180091762634
경기도,안양시 동안구,202605,16391450000,925923,328926.0,49833.24516760609,2.8149887816712575
경기도,안양시 동안구,202606,14895470000,901168,328594.0,45330.92509297188,2.7424968197836845
경기도,안양시 만안구,202601,10074240000,608719,233633.0,43119.935967949736,2.6054495726203064
경기도,안양시 만안구,202602,9569310000,570138,233578.0,40968.37030884758,2.440889124831962
경기도,안양시 만안구,202603,10519040000,677148,233364.0,45075.675768327594,2.9016814932894532
경기도,안양시 만안구,202604,10212580000,682704,233299.0,43774.64112576565,2.926304870573813
경기도,안양시 만안구,202605,10838440000,694518,233415.0,46434.20517104727,2.9754643017800912
경기도,안양시 만안구,202606,9873180000,662963,233711.0,42245.25161417306,2.836678633012567
경기도,양주시,202601,13023220000,562608,296463.0,43928.652142088555,1.8977342872466378
경기도,양주시,202602,12584430000,527478,296740.0,42408.94385657478,1.7775763294466536
경기도,양주시,202603,13148280000,611476,296830.0,44295.65744702355,2.060020887376613
경기도,양주시,202604,12813060000,619270,296910.0,43154.69334141659,2.085716210299417
경기도,양주시,202605,14614910000,662376,296976.0,49212.427940304944,2.230402456764183
경기도,양주시,202606,12919610000,626887,297226.0,43467.29424747499,2.1091257157852947
경기도,양평군,202601,5266490000,233742,126986.0,41472.99702329391,1.8406910998062778
경기도,양평군,202602,5300640000,236345,126830.0,41793.266577308204,1.8634786722384293
경기도,양평군,202603,5561160000,253327,126742.0,43877.79899323034,1.9987612630382983
경기도,양평군,202604,6038000000,277564,126797.0,47619.42317247253,2.189042327499862
경기도,양평군,202605,7096720000,316360,126746.0,55991.668376122325,2.496015653353952
경기도,양평군,202606,6132280000,286415,126822.0,48353.44025484537,2.258401539165129
경기도,여주시,202601,8861800000,249580,113885.0,77813.5838784739,2.1915089783553583
경기도,여주시,202602,9374610000,257837,113735.0,82425.02307996659,2.266997845869785
경기도,여주시,202603,10242490000,286230,113621.0,90146.09975268657,2.5191645910527103
경기도,여주시,202604,10123370000,295885,113605.0,89110.25042911843,2.604506843888913
경기도,여주시,202605,11699870000,341697,113541.0,103045.33164231422,3.009459138108701
경기도,여주시,202606,9193980000,296216,113506.0,80999.94713935828,2.60969464169295
경기도,연천군,202601,1288470000,58862,42475.0,30334.785167745733,1.3858034137728075
경기도,연천군,202602,1301580000,57753,42578.0,30569.308093381558,1.3564047160505426
경기도,연천군,202603,1320680000,61435,42684.0,30940.867772467434,1.4392980976478307
경기도,연천군,202604,1327430000,63246,42814.0,31004.57794179474,1.4772270752557575
경기도,연천군,202605,1597470000,73299,42868.0,37264.85956890921,1.709876831202762
경기도,연천군,202606,1440080000,68500,42977.0,33508.155525048285,1.5938757940293646
경기도,오산시,202601,12769580000,667315,250128.0,51052.18128318301,2.6678940382524146
경기도,오산시,202602,11926410000,615946,250518.0,47606.99829952339,2.458689595158831
경기도,오산시,202603,12712460000,709056,250783.0,50691.0755513731,2.8273686812901992
경기도,오산시,202604,12524350000,721839,251395.0,49819.407705006066,2.8713339565226037
경기도,오산시,202605,13832800000,760195,252414.0,54802.03158303422,3.0116990341264747
경기도,오산시,202606,12347880000,719852,253590.0,48692.29859221578,2.838645056981742
경기도,용인시 기흥구,202601,13267130000,749030,434484.0,30535.37069259167,1.7239530109279053
경기도,용인시 기흥구,202602,12668710000,696435,434349.0,29167.121370142442,1.6033995703915516
경기도,용인시 기흥구,202603,13818570000,835217,434263.0,31820.739966333764,1.9232976330011997
경기도,용인시 기흥구,202604,13626750000,854151,434289.0,31377.147475528967,1.9667801855446487
경기도,용인시 기흥구,202605,15157730000,884724,434363.0,34896.457571201965,2.036830945545546
경기도,용인시 기흥구,202606,13333260000,833477,434590.0,30680.08927955084,1.9178467060907982
