SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM,mapping_confidence,nominal_amt_growth_pct_m,real_amt_growth_pct_m,nominal_real_type
경기도,군포시,8301,제과점,HIGH,-1.3808244715522342,-1.2857030479045466,명목-/실질-
경기도,김포시,4004,대형할인점,MEDIUM,-4.24625900971173,-3.9150933249576596,명목-/실질-
경기도,김포시,4010,편의점,MEDIUM,3.610785389318934,3.969124774667738,명목+/실질+
경기도,김포시,4020,슈퍼마켓,MEDIUM,-1.0494198582090524,-0.7071978594593775,명목-/실질-
경기도,김포시,8001,일반한식,MEDIUM,1.860099430494164,1.5927184573550943,명목+/실질+
경기도,김포시,8004,일식회집,MEDIUM,1.1122587385269163,0.8468408340784183,명목+/실질+
경기도,김포시,8005,중국음식,MEDIUM,-1.2636751906306585,-1.522856310218305,명목-/실질-
경기도,김포시,8006,서양음식,MEDIUM,3.061375676782451,2.7908413745822753,명목+/실질+
경기도,김포시,8021,스넥,MEDIUM,5.086662347912249,4.810811703748144,명목+/실질+
경기도,김포시,8301,제과점,HIGH,-1.881190360204297,-1.7865515558383973,명목-/실질-
경기도,남양주시,4004,대형할인점,MEDIUM,-2.3874334838088074,-2.0498390243484046,명목-/실질-
경기도,남양주시,4010,편의점,MEDIUM,3.1684968468773196,3.525306570967121,명목+/실질+
경기도,남양주시,4020,슈퍼마켓,MEDIUM,-0.4728697112135328,-0.12865370552224367,명목-/실질-
경기도,남양주시,8001,일반한식,MEDIUM,2.8873229034589643,2.61724548673361,명목+/실질+
경기도,남양주시,8004,일식회집,MEDIUM,1.3153077267804802,1.0493568223018652,명목+/실질+
경기도,남양주시,8005,중국음식,MEDIUM,-0.22719949208198856,-0.4891013421857827,명목-/실질-
