TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,foreign_amt_6m,foreign_cnt_6m,foreign_amt_growth_pct_m,foreign_cnt_growth_pct_m,foreign_amt_change_mar_jun_pct,foreign_cnt_change_mar_jun_pct,all_amt,all_cnt,foreign_amt_share_pct,foreign_cnt_share_pct,registered_foreigner_change_pct,store_lq
4004,대형할인점,부산광역시,동구,18470000,1314,-17.747973416569998,-12.866053984696107,-46.174863387978135,-44.6969696969697,660150000,45824,2.7978489737180943,2.8674930167597767,0.499500499500499,
4004,대형할인점,부산광역시,동래구,367350000,14102,-2.692029380208023,-1.4761090528688645,-7.274143302180676,-9.884416102032674,17294470000,616250,2.124089376546376,2.2883569979716025,-0.0892857142857082,
4004,대형할인점,부산광역시,부산진구,453920000,12867,-1.8074387156097198,-0.8695205442658773,2.8848821081830778,-0.8833100883310152,12041090000,361196,3.769758385661099,3.562331808768646,7.304718741668893,
4004,대형할인점,부산광역시,북구,3234180000,105479,0.550615884419579,2.5301530430438106,-5.7758528879264475,-3.2439142872564304,81315510000,2420890,3.9773224074964295,4.357033983369753,-0.19960079840319622,
4004,대형할인점,부산광역시,사상구,968730000,24335,-2.521919483780909,-1.095003020413002,-17.458362655406987,-17.332724366293675,16864900000,432859,5.744060148592639,5.621923074257437,5.8599895123230255,
4004,대형할인점,부산광역시,사하구,349060000,10006,0.2629184213050689,1.2604027983061017,-9.198270126413846,-3.7388724035608334,8880930000,262654,3.9304442214948208,3.8095745733931334,2.1104789869700795,
4004,대형할인점,부산광역시,서구,15270000,1342,-11.93014629943671,-9.149788575086127,-24.253731343283576,-22.821576763485467,389480000,31785,3.920612098182192,4.222117350951707,7.135969141755069,
4004,대형할인점,부산광역시,수영구,43210000,3092,-8.239746986389665,-2.3895542056299663,-17.54385964912281,-4.716981132075475,699920000,52543,6.1735626928791865,5.884703956759226,5.695228322216522,
4004,대형할인점,부산광역시,연제구,481010000,11861,-3.4907518938003346,-2.182616441070374,-3.768382352941174,-3.727317312408047,16188620000,432679,2.9712847667064892,2.741293198884161,3.868471953578336,
4004,대형할인점,부산광역시,영도구,53180000,1889,-33.56671478448753,-24.568551071425002,-88.01996672212978,-78.81548974943053,762320000,28903,6.9760730401930955,6.53565373836626,0.9476720230737499,
4004,대형할인점,부산광역시,중구,199220000,4581,0.3597534941323831,1.6241863601364643,-17.679719462302742,-5.051813471502584,2607730000,78744,7.639594589930707,5.8175861017982315,3.054662379421231,
4004,대형할인점,부산광역시,해운대구,571380000,17729,-5.57434146574275,-5.892185788157042,-26.19201925747616,-29.609609609609606,14783170000,491681,3.8650708880436335,3.6057931870460727,5.010845986984819,
