SIDO_NM,CCG_NM,STRD_YYMM,AGE_CD,population_age,population_total
강원특별자치도,인제군,202602,4,3643.0,30742.0
강원특별자치도,인제군,202602,5,4587.0,30742.0
강원특별자치도,인제군,202602,6,11498.0,30742.0
강원특별자치도,인제군,202603,1,3966.0,30760.0
강원특별자치도,인제군,202603,2,3292.0,30760.0
강원특별자치도,인제군,202603,3,3742.0,30760.0
강원특별자치도,인제군,202603,4,3612.0,30760.0
강원특별자치도,인제군,202603,5,4596.0,30760.0
강원특별자치도,인제군,202603,6,11552.0,30760.0
강원특별자치도,인제군,202604,1,3982.0,30773.0
강원특별자치도,인제군,202604,2,3286.0,30773.0
강원특별자치도,인제군,202604,3,3743.0,30773.0
강원특별자치도,인제군,202604,4,3604.0,30773.0
강원특별자치도,인제군,202604,5,4595.0,30773.0
강원특별자치도,인제군,202604,6,11563.0,30773.0
강원특별자치도,인제군,202605,1,3983.0,30752.0
강원특별자치도,인제군,202605,2,3276.0,30752.0
강원특별자치도,인제군,202605,3,3736.0,30752.0
강원특별자치도,인제군,202605,4,3600.0,30752.0
강원특별자치도,인제군,202605,5,4568.0,30752.0
강원특별자치도,인제군,202605,6,11589.0,30752.0
강원특별자치도,인제군,202606,1,3989.0,30771.0
강원특별자치도,인제군,202606,2,3280.0,30771.0
강원특별자치도,인제군,202606,3,3745.0,30771.0
강원특별자치도,인제군,202606,4,3609.0,30771.0
강원특별자치도,인제군,202606,5,4556.0,30771.0
강원특별자치도,인제군,202606,6,11592.0,30771.0
강원특별자치도,정선군,202601,1,3184.0,34982.0
강원특별자치도,정선군,202601,2,2362.0,34982.0
강원특별자치도,정선군,202601,3,2297.0,34982.0
강원특별자치도,정선군,202601,4,3966.0,34982.0
강원특별자치도,정선군,202601,5,6617.0,34982.0
강원특별자치도,정선군,202601,6,16556.0,34982.0
강원특별자치도,정선군,202602,1,3154.0,35001.0
강원특별자치도,정선군,202602,2,2360.0,35001.0
강원특별자치도,정선군,202602,3,2298.0,35001.0
강원특별자치도,정선군,202602,4,3946.0,35001.0
강원특별자치도,정선군,202602,5,6647.0,35001.0
강원특별자치도,정선군,202602,6,16596.0,35001.0
강원특별자치도,정선군,202603,1,3143.0,35053.0
강원특별자치도,정선군,202603,2,2364.0,35053.0
강원특별자치도,정선군,202603,3,2300.0,35053.0
강원특별자치도,정선군,202603,4,3922.0,35053.0
강원특별자치도,정선군,202603,5,6641.0,35053.0
강원특별자치도,정선군,202603,6,16683.0,35053.0
강원특별자치도,정선군,202604,1,3120.0,35073.0
강원특별자치도,정선군,202604,2,2363.0,35073.0
강원특별자치도,정선군,202604,3,2305.0,35073.0
강원특별자치도,정선군,202604,4,3908.0,35073.0
강원특별자치도,정선군,202604,5,6622.0,35073.0
강원특별자치도,정선군,202604,6,16755.0,35073.0
강원특별자치도,정선군,202605,1,3105.0,35113.0
강원특별자치도,정선군,202605,2,2376.0,35113.0
강원특별자치도,정선군,202605,3,2301.0,35113.0
강원특별자치도,정선군,202605,4,3905.0,35113.0
강원특별자치도,정선군,202605,5,6632.0,35113.0
강원특별자치도,정선군,202605,6,16794.0,35113.0
강원특별자치도,정선군,202606,1,3086.0,35128.0
강원특별자치도,정선군,202606,2,2378.0,35128.0
강원특별자치도,정선군,202606,3,2296.0,35128.0
강원특별자치도,정선군,202606,4,3904.0,35128.0
강원특별자치도,정선군,202606,5,6632.0,35128.0
강원특별자치도,정선군,202606,6,16832.0,35128.0
강원특별자치도,철원군,202601,1,5305.0,39953.0
강원특별자치도,철원군,202601,2,4018.0,39953.0
강원특별자치도,철원군,202601,3,4125.0,39953.0
강원특별자치도,철원군,202601,4,4438.0,39953.0
강원특별자치도,철원군,202601,5,6325.0,39953.0
강원특별자치도,철원군,202601,6,15742.0,39953.0
강원특별자치도,철원군,202602,1,5252.0,39818.0
강원특별자치도,철원군,202602,2,4000.0,39818.0
강원특별자치도,철원군,202602,3,4096.0,39818.0
강원특별자치도,철원군,202602,4,4400.0,39818.0
강원특별자치도,철원군,202602,5,6285.0,39818.0
강원특별자치도,철원군,202602,6,15785.0,39818.0
강원특별자치도,철원군,202603,1,5236.0,39802.0
강원특별자치도,철원군,202603,2,3964.0,39802.0
강원특별자치도,철원군,202603,3,4111.0,39802.0
강원특별자치도,철원군,202603,4,4402.0,39802.0
강원특별자치도,철원군,202603,5,6228.0,39802.0
강원특별자치도,철원군,202603,6,15861.0,39802.0
강원특별자치도,철원군,202604,1,5222.0,39779.0
강원특별자치도,철원군,202604,2,3964.0,39779.0
강원특별자치도,철원군,202604,3,4098.0,39779.0
강원특별자치도,철원군,202604,4,4403.0,39779.0
강원특별자치도,철원군,202604,5,6192.0,39779.0
강원특별자치도,철원군,202604,6,15900.0,39779.0
강원특별자치도,철원군,202605,1,5204.0,39727.0
강원특별자치도,철원군,202605,2,3946.0,39727.0
강원특별자치도,철원군,202605,3,4098.0,39727.0
강원특별자치도,철원군,202605,4,4382.0,39727.0
강원특별자치도,철원군,202605,5,6177.0,39727.0
강원특별자치도,철원군,202605,6,15920.0,39727.0
강원특별자치도,철원군,202606,1,5203.0,39711.0
강원특별자치도,철원군,202606,2,3941.0,39711.0
강원특별자치도,철원군,202606,3,4110.0,39711.0
강원특별자치도,철원군,202606,4,4376.0,39711.0
강원특별자치도,철원군,202606,5,6162.0,39711.0
강원특별자치도,철원군,202606,6,15919.0,39711.0
강원특별자치도,춘천시,202601,1,42755.0,284895.0
강원특별자치도,춘천시,202601,2,34590.0,284895.0
강원특별자치도,춘천시,202601,3,34899.0,284895.0
강원특별자치도,춘천시,202601,4,38637.0,284895.0
강원특별자치도,춘천시,202601,5,46283.0,284895.0
강원특별자치도,춘천시,202601,6,87731.0,284895.0
강원특별자치도,춘천시,202602,1,42714.0,284855.0
강원특별자치도,춘천시,202602,2,34492.0,284855.0
강원특별자치도,춘천시,202602,3,34824.0,284855.0
강원특별자치도,춘천시,202602,4,38584.0,284855.0
강원특별자치도,춘천시,202602,5,46228.0,284855.0
강원특별자치도,춘천시,202602,6,88013.0,284855.0
강원특별자치도,춘천시,202603,1,42670.0,284910.0
강원특별자치도,춘천시,202603,2,34513.0,284910.0
강원특별자치도,춘천시,202603,3,34876.0,284910.0
강원특별자치도,춘천시,202603,4,38482.0,284910.0
강원특별자치도,춘천시,202603,5,46079.0,284910.0
강원특별자치도,춘천시,202603,6,88290.0,284910.0
강원특별자치도,춘천시,202604,1,42627.0,284966.0
강원특별자치도,춘천시,202604,2,34524.0,284966.0
강원특별자치도,춘천시,202604,3,34911.0,284966.0
강원특별자치도,춘천시,202604,4,38372.0,284966.0
강원특별자치도,춘천시,202604,5,46034.0,284966.0
강원특별자치도,춘천시,202604,6,88498.0,284966.0
강원특별자치도,춘천시,202605,1,42566.0,285160.0
강원특별자치도,춘천시,202605,2,34631.0,285160.0
강원특별자치도,춘천시,202605,3,34960.0,285160.0
강원특별자치도,춘천시,202605,4,38298.0,285160.0
강원특별자치도,춘천시,202605,5,46045.0,285160.0
강원특별자치도,춘천시,202605,6,88660.0,285160.0
강원특별자치도,춘천시,202606,1,42461.0,285027.0
강원특별자치도,춘천시,202606,2,34495.0,285027.0
강원특별자치도,춘천시,202606,3,34980.0,285027.0
강원특별자치도,춘천시,202606,4,38318.0,285027.0
강원특별자치도,춘천시,202606,5,45939.0,285027.0
강원특별자치도,춘천시,202606,6,88834.0,285027.0
강원특별자치도,태백시,202601,1,4640.0,36972.0
강원특별자치도,태백시,202601,2,2614.0,36972.0
강원특별자치도,태백시,202601,3,2670.0,36972.0
강원특별자치도,태백시,202601,4,4789.0,36972.0
강원특별자치도,태백시,202601,5,6704.0,36972.0
강원특별자치도,태백시,202601,6,15555.0,36972.0
강원특별자치도,태백시,202602,1,4605.0,36886.0
강원특별자치도,태백시,202602,2,2603.0,36886.0
강원특별자치도,태백시,202602,3,2654.0,36886.0
강원특별자치도,태백시,202602,4,4760.0,36886.0
강원특별자치도,태백시,202602,5,6685.0,36886.0
강원특별자치도,태백시,202602,6,15579.0,36886.0
강원특별자치도,태백시,202603,1,4607.0,36859.0
강원특별자치도,태백시,202603,2,2594.0,36859.0
강원특별자치도,태백시,202603,3,2659.0,36859.0
