STRD_YYMM,SIDO_NM,CCG_NM,living_population,resident_population_pdf,stay_population,registered_foreigner_population
202603,전라남도,담양군,360989,44101,315526,1362
202603,전라남도,보성군,184459,36729,146655,1075
202603,전라남도,신안군,166013,42045,122418,1550
202603,전라남도,영광군,189269,53957,134080,1232
202603,전라남도,영암군,240112,50039,179719,10354
202603,전라남도,완도군,162885,44339,114285,4261
202603,전라남도,장성군,242744,42984,198401,1359
202603,전라남도,장흥군,132559,34076,97364,1119
202603,전라남도,진도군,116713,27922,86445,2346
202603,전라남도,함평군,145218,29320,114675,1223
202603,전라남도,해남군,253195,62114,187106,3975
202603,전라남도,화순군,318979,60126,257648,1205
202603,전북특별자치도,고창군,244978,50228,193054,1696
202603,전북특별자치도,김제시,298972,81713,213727,3532
202603,전북특별자치도,남원시,286317,74065,210704,1548
202603,전북특별자치도,무주군,135936,23063,112606,267
202603,전북특별자치도,부안군,268456,47038,220003,1415
202603,전북특별자치도,순창군,114704,27627,86589,488
202603,전북특별자치도,임실군,151455,25300,125727,428
202603,전북특별자치도,장수군,71692,21090,50165,437
202603,전북특별자치도,정읍시,316610,100795,212287,3528
202603,전북특별자치도,진안군,134184,24321,109397,466
202603,충청남도,공주시,605060,99843,502026,3191
202603,충청남도,금산군,250290,48853,198192,3245
202603,충청남도,논산시,578509,106295,464802,7412
202603,충청남도,보령시,480882,91434,385380,4068
202603,충청남도,부여군,253037,57984,192958,2095
202603,충청남도,서천군,255877,46982,206665,2230
202603,충청남도,예산군,400112,78604,316845,4663
202603,충청남도,청양군,135287,30077,104040,1170
202603,충청남도,태안군,380255,59177,319053,2025
202603,충청북도,괴산군,221430,37532,182776,1122
202603,충청북도,단양군,188321,26644,161264,413
202603,충청북도,보은군,172439,30662,140883,894
202603,충청북도,영동군,165360,42974,121394,992
202603,충청북도,옥천군,235389,50259,183556,1574
202603,충청북도,제천시,455086,128269,322981,3836
